MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2384308	Pdk3	pyruvate dehydrogenase kinase, isoenzyme 3	X		hypoxia-inducible factor-1alpha signaling pathway			ISO	Q15120 	J:164563 	
MGI:105095	Pgf	placental growth factor	12		response to hypoxia			IBA	PTN000246442 	J:265628 	
MGI:97555	Pgk1	phosphoglycerate kinase 1	X		cellular response to hypoxia			ISO	P00558 	J:164563 	
MGI:1922019	Pik3cb	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	9		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	happens in cardiac muscle cell		IMP		J:291522 	
MGI:1346036	Pin1	peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1	9		response to hypoxia			ISO	Q13526 	J:164563 	
MGI:3649546	Pin1rt1	peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1, retrogene 1	2		response to hypoxia			ISO	Q13526 	J:164563 	
MGI:1916193	Pink1	PTEN induced putative kinase 1	4		cellular response to hypoxia			IMP		J:207460 	
MGI:1916193	Pink1	PTEN induced putative kinase 1	4		cellular response to hypoxia			ISO	Q9BXM7 	J:164563 	
MGI:1916193	Pink1	PTEN induced putative kinase 1	4		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	happens in fibroblast|happens in primary neuron		IMP		J:207460 	
MGI:97610	Plat	plasminogen activator, tissue	8		response to hypoxia	happens in smooth muscle cell,happens in thoracic aorta		IMP		J:124454 	
MGI:97611	Plau	plasminogen activator, urokinase	14		response to hypoxia	happens in smooth muscle cell,happens in thoracic aorta		IMP		J:124454 	
MGI:892877	Pld2	phospholipase D2	11		response to hypoxia			ISO	RGD:3350 	J:155856 	
MGI:2387630	Plekhn1	pleckstrin homology domain containing, family N member 1	4		response to hypoxia			IBA	PTN002930314 	J:265628 	
MGI:2387630	Plekhn1	pleckstrin homology domain containing, family N member 1	4		response to hypoxia			ISO	Q494U1 	J:164563 	
MGI:109604	Plk3	polo like kinase 3	4		positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia			ISO	Q9H4B4 	J:164563 	
MGI:104662	Pml	promyelocytic leukemia	9		response to hypoxia			IMP	MGI:2429949 	J:111744 	
MGI:104662	Pml	promyelocytic leukemia	9		response to hypoxia			ISO	P29590 	J:164563 	
MGI:104740	Ppara	peroxisome proliferator activated receptor alpha	15		response to hypoxia			ISO	RGD:3369 	J:155856 	
MGI:101884	Ppard	peroxisome proliferator activator receptor delta	17		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:106918 	J:203819 	
MGI:101884	Ppard	peroxisome proliferator activator receptor delta	17		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:2676890 	J:203819 	
MGI:101884	Ppard	peroxisome proliferator activator receptor delta	17		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:3618742 	J:203819 	
MGI:97747	Pparg	peroxisome proliferator activated receptor gamma	6		cellular response to hypoxia			ISO	RGD:3371 	J:155856 	
MGI:97596	Prkcb	protein kinase C, beta	7	NOT	response to hypoxia		PR:P68404-1	IDA		J:149031 	
MGI:97596	Prkcb	protein kinase C, beta	7		response to hypoxia		PR:P68404-2	IDA		J:149031 	
MGI:97599	Prkce	protein kinase C, epsilon	17		cellular response to hypoxia	happens in lens epithelial cell,happens in lens epithelium		IDA		J:132507 	
MGI:1206587	Prl4a1	prolactin family 4, subfamily a, member 1	13		response to hypoxia	happens in placenta		IMP	MGI:3513079 	J:94464 	
MGI:894281	Prl8a2	prolactin family 8, subfamily a, member 2	13		response to hypoxia			IMP	MGI:3513194 	J:117034 	
MGI:1316652	Prmt2	protein arginine N-methyltransferase 2	10		response to hypoxia			IDA		J:126896 	
MGI:109583	Pten	phosphatase and tensin homolog	19		cellular response to hypoxia			IDA		J:213269 	
MGI:1097156	Ptgis	prostaglandin I2 (prostacyclin) synthase	2		cellular response to hypoxia			ISO	Q16647 	J:164563 	
MGI:1097156	Ptgis	prostaglandin I2 (prostacyclin) synthase	2		response to hypoxia			ISO	RGD:3438 	J:155856 	
MGI:97830	Pygm	muscle glycogen phosphorylase	19		response to hypoxia			ISO	RGD:3461 	J:155856 	
MGI:97847	Raf1	v-raf-leukemia viral oncogene 1	6		response to hypoxia			ISO	RGD:3531 	J:155856 	
MGI:96522	Rbpj	recombination signal binding protein for immunoglobulin kappa J region	5		positive regulation of transcription from RNA polymerase II promoter in response to hypoxia			ISO	Q06330 	J:164563 	
MGI:104897	Rest	RE1-silencing transcription factor	5		response to hypoxia			ISO	Q13127 	J:164563 	
MGI:1913464	Rgcc	regulator of cell cycle	14		cellular response to hypoxia			ISO	Q9H4X1 	J:164563 	
MGI:107926	Rock2	Rho-associated coiled-coil containing protein kinase 2	12		regulation of cellular response to hypoxia	happens in aortic endothelial cell		IMP		J:268013 	
MGI:104661	Rora	RAR-related orphan receptor alpha	9		cellular response to hypoxia			ISO	P35398 	J:164563 	
MGI:1921620	Rptor	regulatory associated protein of MTOR, complex 1	11		cellular response to hypoxia			NAS		J:320285 	
MGI:1915835	Rtn4	reticulon 4	11		cellular response to hypoxia			IDA		J:269555 	
MGI:1920420	Rwdd3	RWD domain containing 3	3		positive regulation of hypoxia-inducible factor-1alpha signaling pathway			IBA	PTN002695369 	J:265628 	
MGI:1920420	Rwdd3	RWD domain containing 3	3		positive regulation of hypoxia-inducible factor-1alpha signaling pathway			IMP		J:210293 	
MGI:1920420	Rwdd3	RWD domain containing 3	3		positive regulation of hypoxia-inducible factor-1alpha signaling pathway			ISO	Q9Y3V2 	J:164563 	
MGI:99659	Ryr1	ryanodine receptor 1, skeletal muscle	7		response to hypoxia			ISO	P21817 	J:164563 	
MGI:99685	Ryr2	ryanodine receptor 2, cardiac	13		response to hypoxia			IDA		J:145985 	
MGI:2135958	Scap	SREBF chaperone	9		response to hypoxia	happens in liver		IMP	MGI:2148743 MGI:2176073 	J:128622 	
MGI:98248	Scn2a	sodium channel, voltage-gated, type II, alpha	2		cellular response to hypoxia			ISO	RGD:3632 	J:155856 	
MGI:1914175	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	9		cellular response to hypoxia	happens in type I cell of carotid body		IMP	MGI:3526521 	J:95252 	
MGI:2135607	Sirt1	sirtuin 1	10		cellular response to hypoxia			ISO	Q96EB6 	J:164563 	
MGI:1927664	Sirt2	sirtuin 2	7		cellular response to hypoxia			ISO	Q8IXJ6 	J:164563 	
MGI:1927664	Sirt2	sirtuin 2	7		negative regulation of transcription from RNA polymerase II promoter in response to hypoxia			ISO	Q8IXJ6 	J:164563 	
MGI:1927664	Sirt2	sirtuin 2	7		positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia			ISO	Q8IXJ6 	J:164563 	
MGI:95758	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	11		cellular response to hypoxia			ISO	RGD:2711 	J:155856 	
MGI:1860103	Slc2a8	solute carrier family 2, (facilitated glucose transporter), member 8	2		response to hypoxia			IDA		J:72589 	
MGI:107956	Slc8a1	solute carrier family 8 (sodium/calcium exchanger), member 1	17		response to hypoxia			ISO	RGD:3717 	J:155856 	
MGI:107976	Slc8a3	solute carrier family 8 (sodium/calcium exchanger), member 3	12		cellular response to hypoxia			IDA		J:225481 	
MGI:102462	Slc9a1	solute carrier family 9 (sodium/hydrogen exchanger), member 1	4		cellular response to hypoxia			ISO	RGD:3718 	J:155856 	
MGI:1345279	Slc11a2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	15		response to hypoxia			IBA	PTN008524585 	J:265628 	
MGI:1201674	Smad3	SMAD family member 3	9		response to hypoxia			ISO	P84022 	J:164563 	
MGI:894293	Smad4	SMAD family member 4	18		response to hypoxia			ISO	Q13485 	J:164563 	
MGI:103181	Sod3	superoxide dismutase 3, extracellular	5		response to hypoxia			IMP	MGI:2652386 	J:90918 	
MGI:103038	Stat3	signal transducer and activator of transcription 3	11		regulation of cellular response to hypoxia			ISO	RGD:3772 	J:155856 	
MGI:2684909	Stox1	storkhead box 1	10		regulation of transcription from RNA polymerase II promoter in response to hypoxia			ISO	Q6ZVD7 	J:164563 	
MGI:1891731	Stub1	STIP1 homology and U-Box containing protein 1	17		cellular response to hypoxia			ISO	RGD:1306167 	J:155856 	
MGI:1099440	Suv39h1	suppressor of variegation 3-9 1	X		cellular response to hypoxia			ISO	O43463 	J:173973 	
MGI:1890396	Suv39h2	suppressor of variegation 3-9 2	2		cellular response to hypoxia			ISO	Q9H5I1 	J:173973 	
MGI:1341163	Tacc3	transforming, acidic coiled-coil containing protein 3	5		response to hypoxia			IDA		J:65378 	
MGI:1351652	Tbl2	transducin (beta)-like 2	5		cellular response to hypoxia			ISO	Q9Y4P3 	J:164563 	
MGI:98664	Tek	TEK receptor tyrosine kinase	4		response to hypoxia			ISO	RGD:620980 	J:155856 	
MGI:1202709	Tert	telomerase reverse transcriptase	13		cellular response to hypoxia			ISO	O14746 	J:164563 	
MGI:98725	Tgfb1	transforming growth factor, beta 1	7		cellular response to hypoxia			ISO	P01137 	J:164563 	
MGI:98726	Tgfb2	transforming growth factor, beta 2	1		response to hypoxia			ISO	P61812 	J:164563 	
MGI:98727	Tgfb3	transforming growth factor, beta 3	12		detection of hypoxia			ISO	P10600 	J:164563 	
MGI:98727	Tgfb3	transforming growth factor, beta 3	12		response to hypoxia			ISO	P10600 	J:164563 	
MGI:98735	Th	tyrosine hydroxylase	7		response to hypoxia			IBA	PTN000158541 	J:265628 	
MGI:98735	Th	tyrosine hydroxylase	7		response to hypoxia			ISO	RGD:3853 	J:155856 	
MGI:98735	Th	tyrosine hydroxylase	7		response to hypoxia			ISO	P07101 	J:164563 	
MGI:2442752	Tigar	Trp53 induced glycolysis regulatory phosphatase	6		cellular response to hypoxia			ISO	Q9NQ88 	J:164563 	
MGI:2139220	Tm9sf4	transmembrane 9 superfamily member 4	2		response to hypoxia			ISO	Q92544 	J:164563 	
MGI:99682	Tmbim6	transmembrane BAX inhibitor motif containing 6	15		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			ISO	P55061 	J:164563 	
MGI:1913150	Trem2	triggering receptor expressed on myeloid cells 2	17		cellular response to hypoxia			ISO	RGD:1309841 	J:155856 	
MGI:98834	Trp53	transformation related protein 53	11		intrinsic apoptotic signaling pathway in response to hypoxia	happens in cardiac muscle cell		IMP		J:167245 	
MGI:98834	Trp53	transformation related protein 53	11		positive regulation of transcription from RNA polymerase II promoter in response to hypoxia	happens in cardiac muscle cell,uses Tigar		IMP		J:167245 	
MGI:102548	Tsc2	TSC complex subunit 2	17		response to hypoxia			IMP		J:131386 	
MGI:98872	Twist1	twist basic helix-loop-helix transcription factor 1	12		cellular response to hypoxia			IMP		J:175157 	
MGI:98872	Twist1	twist basic helix-loop-helix transcription factor 1	12		cellular response to hypoxia			ISO	Q15672 	J:164563 	
MGI:1860276	Ubqln1	ubiquilin 1	13		cellular response to hypoxia			ISO	Q9UMX0 	J:164563 	
MGI:109354	Ucp2	uncoupling protein 2 (mitochondrial, proton carrier)	7		response to hypoxia			ISO	P55851 	J:164563 	
MGI:1099787	Ucp3	uncoupling protein 3 (mitochondrial, proton carrier)	7		response to hypoxia			ISO	RGD:3933 	J:155856 	
MGI:99542	Usf1	upstream transcription factor 1	1		response to hypoxia			ISO	P22415 	J:164563 	
MGI:1918722	Usp19	ubiquitin specific peptidase 19	9		regulation of cellular response to hypoxia			ISO	O94966 	J:164563 	
MGI:2177651	Vasn	vasorin	16		cellular response to hypoxia	happens in testis,happens in liver		IMP	MGI:5140849 	J:173568 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		cellular response to hypoxia			ISO	P15691 	J:58706 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		cellular response to hypoxia			ISO	P15692 	J:58706 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		positive regulation of transcription from RNA polymerase II promoter in response to hypoxia			ISO	P15692 	J:164563 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		response to hypoxia			IBA	PTN000246442 	J:265628 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		response to hypoxia			ISO	RGD:619991 	J:155856 	
MGI:103178	Vegfa	vascular endothelial growth factor A	17		response to hypoxia			ISO	P15692 	J:164563 	
MGI:106199	Vegfb	vascular endothelial growth factor B	19		response to hypoxia			IBA	PTN000246442 	J:265628 	
MGI:109124	Vegfc	vascular endothelial growth factor C	8		response to hypoxia			IBA	PTN000246442 	J:265628 	
MGI:108037	Vegfd	vascular endothelial growth factor D	X		response to hypoxia			IBA	PTN000246442 	J:265628 	
MGI:103223	Vhl	von Hippel-Lindau tumor suppressor	6		hypoxia-inducible factor-1alpha signaling pathway	happens in pancreas,happens in epithelial cell of pancreas		IMP	MGI:2136645 MGI:3608931 	J:218695 	
MGI:103223	Vhl	von Hippel-Lindau tumor suppressor	6		negative regulation of hypoxia-inducible factor-1alpha signaling pathway	happens in pancreas,happens in epithelial cell of pancreas,negatively regulates hypoxia-inducible factor-1alpha signaling pathway		IMP	MGI:2136645 MGI:3608931 	J:218695 	
MGI:103223	Vhl	von Hippel-Lindau tumor suppressor	6		response to hypoxia			ISO	RGD:3960 	J:155856 	
MGI:98935	Vldlr	very low density lipoprotein receptor	19		cellular response to hypoxia			ISO	RGD:3963 	J:155856 	
MGI:1915086	Wdr83	WD repeat domain containing 83	8		response to hypoxia			IMP	MGI:4367006 	J:237546 	
MGI:2141920	Wtip	WT1 interacting protein	7		response to hypoxia			IBA	PTN001198456 	J:265628 	
MGI:2141920	Wtip	WT1 interacting protein	7		response to hypoxia			ISO	A6NIX2 	J:164563 	
MGI:1916199	Zfas1	zinc finger, NFX1-type containing 1, antisense RNA 1	2		regulation of hypoxia-induced intrinsic apoptotic signaling pathway			IMP		J:294533 	
MGI:107946	Zfp36l1	zinc finger protein 36, C3H type-like 1	12		cellular response to hypoxia			ISO	Q07352 	J:164563 	

